%time,field.seq,field.stamp,field.frame_id
1481431655516561031,26260,1468242501975000000,/camera
1481431655549833059,26261,1468242502008000000,/camera
1481431655587238073,26262,1468242502041000000,/camera
1481431655618874073,26263,1468242502075000000,/camera
1481431655655495882,26264,1468242502108000000,/camera
1481431655684720993,26265,1468242502141000000,/camera
1481431655716603994,26266,1468242502175000000,/camera
1481431655755451917,26267,1468242502208000000,/camera
1481431655784094095,26268,1468242502241000000,/camera
1481431655816781997,26269,1468242502275000000,/camera
1481431655848628997,26270,1468242502308000000,/camera
1481431655882142066,26271,1468242502341000000,/camera
1481431655918828964,26272,1468242502375000000,/camera
1481431655949790000,26273,1468242502408000000,/camera
1481431655982323884,26274,1468242502441000000,/camera
1481431656015961885,26275,1468242502475000000,/camera
1481431656049875974,26276,1468242502508000000,/camera
1481431656086968898,26277,1468242502541000000,/camera
1481431656115530014,26278,1468242502574000000,/camera
1481431656150458097,26279,1468242502608000000,/camera
1481431656181741952,26280,1468242502641000000,/camera
